IME_KO,TOTAL_VOLUME,YEAR
AJDOVŠČINA,9328436.96,2007
BEŽIGRAD,65934101.99,2007
BIZOVIK,3244000.0,2007
BRDO,294000.0,2007
BREZOVICA,199367.04,2007
BRINJE I,13794951.0,2007
DOBROVA,4480911.79,2007
DOBRUNJE,800000.0,2007
DRAVLJE,40134170.36,2007
GAMELJNE,749200.0,2007
GLINCE,1675500.0,2007
GOLOVEC,170200.0,2007
GRADIŠČE,546260.58,2007
GRADIŠČE II,5258357.0,2007
IŠKA VAS,32000.0,2007
JEŽICA,476000.0,2007
KARLOVŠKO PREDMESTJE,89477961.62,2007
KAŠELJ,2875925.0,2007
KRAKOVSKO PREDMESTJE,850000.0,2007
LANIŠČE,105157.2,2007
LIPOGLAV,134555.4,2007
LJUBLJANA MESTO,2876992.15,2007
MOSTE,25573412.8,2007
NADGORICA,300575.8,2007
PETELINJE,2530458.0,2007
POLJANSKO PREDMESTJE,2206536.5300000003,2007
PRULE,782423.6,2007
RAŠICA,60000.0,2007
RUDNIK,181870.0,2007
SLAPE,1969785.27,2007
SOSTRO,95188.0,2007
SPODNJA ŠIŠKA,2630000.0,2007
STANEŽIČE,7200004.0,2007
STOŽICE,4722900.0,2007
TABOR,8931361.32,2007
TACEN,13263220.0,2007
TOMIŠELJ,625.0,2007
TREBELJEVO,62594.0,2007
TRNOVSKO PREDMESTJE,3810296.4,2007
UDMAT,945000.0,2007
ULAKA,12000.0,2007
VIČ,95165687.07,2007
VIŽMARJE,6909250.0,2007
VODICE,6479229.78,2007
VOLAVLJE,221165.49,2007
ZADOBROVA,2322040.0,2007
ZAPOTOK,5000.0,2007
ZELENA JAMA,13200000.0,2007
ZGORNJA ŠIŠKA,28262995.59,2007
ZGORNJE PIRNIČE,560000.0,2007
ČRNUČE,25696007.87,2007
ŠENTVID NAD LJUBLJANO,10525923.0,2007
ŠMARTNO OB SAVI,91804.37,2007
ŠMARTNO POD ŠMARNO GORO,9050.0,2007
ŠTEPANJA VAS,838717.45,2007
ŠUJICA,2652000.0,2007
ŽELIMLJE,1400.0,2007
ADLEŠIČI,3283325.0,2008
AJDOVŠČINA,3658590.0,2008
BABNA GORA,13744.13,2008
BEŽIGRAD,145722020.33,2008
BIZELJSKO,375563.0,2008
BIZOVIK,26703576.98,2008
BRDO,29117805.1,2008
BREZOVICA,1379252.1400000001,2008
BRINJE I,18641594.08,2008
BRINJE II,878910.98,2008
DOBROVA,5816529.44,2008
DOBRUNJE,3695587.7199999997,2008
DOL PRI LJUBLJANI,2561250.0,2008
DOLSKO,3000.0,2008
DRAVLJE,60710369.8,2008
GAMELJNE,6103654.85,2008
GLINCE,9975565.21,2008
GOLO,176000.0,2008
GOLO BRDO,42060.12,2008
GOLOVEC,1579800.0,2008
GOTNA VAS,200000.0,2008
GRADIŠČE,490890.0,2008
GRADIŠČE I,55841000.0,2008
GRADIŠČE II,9650291.98,2008
GRIČ,2067102.04,2008
JAVOR,495473.52,2008
JEŽICA,3242208.58,2008
KAMNIK,2664200.0,2008
KARLOVŠKO PREDMESTJE,101632539.51,2008
KAŠELJ,14974551.47,2008
KRAKOVSKO PREDMESTJE,5245000.0,2008
KRIŽEVSKA VAS,47758.46,2008
LANIŠČE,248000.0,2008
LAZE,33396.0,2008
LIPOGLAV,1162724.86,2008
LJUBLJANA MESTO,1500000.0,2008
MEDVODE,68400.0,2008
MOSTE,36426677.63,2008
MOŠE,258300.0,2008
NADGORICA,5732945.17,2008
NOVE JARŠE,2316772.21,2008
PODGORICA,2798106.46,2008
PODMOLNIK,229077.88,2008
PODSMREKA,1714670.0,2008
POLJANSKO PREDMESTJE,5479721.95,2008
PRESERJE,157578.0,2008
PREVOJE,105000.0,2008
PRULE,927000.0,2008
RAKITNA,336688.30000000005,2008
RUDNIK,49394355.35,2008
SENOŽETI,121500.0,2008
SLAPE,11070806.19,2008
SMLEDNIK,5280.0,2008
SOSTRO,2025585.67,2008
SPODNJA ŠIŠKA,15705060.02,2008
SPODNJE PIRNIČE,770000.0,2008
STANEŽIČE,20627876.68,2008
STOŽICE,48953037.42,2008
TABOR,8422745.34,2008
TACEN,38385130.44,2008
TOMIŠELJ,291043.0,2008
TREBELJEVO,78483.0,2008
TRNOVSKO PREDMESTJE,43486413.95,2008
UDMAT,8987938.79,2008
ULAKA,91500.0,2008
VESCA,330000.0,2008
VINJE,181480.0,2008
VIČ,683098508.81,2008
VIŽMARJE,10019585.25,2008
VODICE,727627.79,2008
VOLAVLJE,2012664.24,2008
VRBLJENE,788.5,2008
ZADOBROVA,20585895.39,2008
ZELENA JAMA,15418906.0,2008
ZGORNJA ŠIŠKA,169822561.16,2008
ČRNUČE,43128955.31,2008
ŠEMPETER,155000.0,2008
ŠENTPETER,326312.0,2008
ŠENTVID NAD LJUBLJANO,20144329.86,2008
ŠMARTNO,30000.0,2008
ŠMARTNO OB SAVI,623674.91,2008
ŠMARTNO POD ŠMARNO GORO,10545579.0,2008
ŠTEPANJA VAS,4300816.0,2008
ŠUJICA,1586614.12,2008
ŽELIMLJE,5117.51,2008
AJDOVŠČINA,4350500.0,2009
BEŽIGRAD,22595796.0,2009
BIZOVIK,3256252.0,2009
BRDO,2649600.0,2009
BRINJE I,13768620.0,2009
BRINJE II,902280.0,2009
DOBROVA,829150.0,2009
DOBRUNJE,569776.0,2009
DRAVLJE,9397190.39,2009
GAMELJNE,3217838.0,2009
GLINCE,12122040.0,2009
GOLOVEC,46700.0,2009
GRADIŠČE II,1915837.0,2009
JAVOR,58801.5,2009
JEŽICA,2078171.88,2009
KARLOVŠKO PREDMESTJE,6983846.38,2009
KAŠELJ,3413055.0,2009
KRAKOVSKO PREDMESTJE,453928.46,2009
LIPOGLAV,323516.0,2009
LJUBLJANA MESTO,1242420.0,2009
MOSTE,7118718.0,2009
NADGORICA,1160235.0,2009
NOVE JARŠE,2171000.0,2009
PODGORICA,1634991.5,2009
PODMOLNIK,50526.0,2009
PODSMREKA,176480.0,2009
POLJANSKO PREDMESTJE,639006.37,2009
RAKITNA,320000.0,2009
RUDNIK,14289756.0,2009
SLAPE,36403200.0,2009
SOSTRO,2278388.54,2009
SPODNJA ŠIŠKA,40710386.0,2009
STANEŽIČE,2901313.0,2009
STOŽICE,39640501.0,2009
TABOR,5501376.0,2009
TOMIŠELJ,163635.0,2009
TREBELJEVO,302500.0,2009
TRNOVSKO PREDMESTJE,15368403.6,2009
UDMAT,788974.87,2009
VINO,726000.0,2009
VIČ,7436619.6,2009
VIŽMARJE,4247295.0,2009
VOLAVLJE,411319.5,2009
ZADOBROVA,1090040.0,2009
ZELENA JAMA,6426642.0,2009
ZGORNJA ŠIŠKA,6500621.0,2009
ČRNUČE,2006276.0,2009
ŠENTPETER,2164596.08,2009
ŠENTVID NAD LJUBLJANO,28506046.4,2009
ŠMARTNO OB SAVI,310000.0,2009
ŠMARTNO POD ŠMARNO GORO,408191.0,2009
ŠTEPANJA VAS,1408053.0,2009
ŠUJICA,430000.0,2009
AJDOVŠČINA,9817010.82,2010
BEŽIGRAD,15328271.24,2010
BIZOVIK,7074530.72,2010
BRDO,2096734.0,2010
BRINJE I,24024036.0,2010
BRINJE II,319520.0,2010
DOBRAVICA,64200.0,2010
DOBROVA,5928338.0,2010
DOBRUNJE,3026494.0,2010
DRAVLJE,200814625.19,2010
GAMELJNE,8860229.15,2010
GLINCE,9292016.0,2010
GOLOVEC,14280.0,2010
GRADIŠČE I,1468300.0,2010
GRADIŠČE II,3990524.0,2010
GRIČ,1130000.0,2010
JAVOR,121622.0,2010
JEŽICA,5765022.0,2010
KARLOVŠKO PREDMESTJE,11277113.709999999,2010
KAŠELJ,11412710.4,2010
KRAKOVSKO PREDMESTJE,227000.0,2010
LIPOGLAV,410000.0,2010
LJUBLJANA MESTO,2555000.0,2010
MOSTE,70524922.03,2010
NADGORICA,15813942.0,2010
NOVE JARŠE,1067000.0,2010
PIJAVA GORICA,21600.0,2010
PODGORICA,2142149.93,2010
PODMOLNIK,355145.97,2010
PODSMREKA,3409400.0,2010
POLJANSKO PREDMESTJE,2325680.0,2010
PRULE,350000.0,2010
REPNJE,302716.06,2010
RUDNIK,5738118.0,2010
SLAPE,35596404.0,2010
SOSTRO,3241000.0,2010
SPODNJA ŠIŠKA,358166880.62,2010
STANEŽIČE,4951836.0,2010
STOŽICE,12400626.99,2010
TABOR,11173411.6,2010
TACEN,1986734.0,2010
TOMIŠELJ,118102.0,2010
TREBELJEVO,104951.69,2010
TRNOVSKO PREDMESTJE,52645651.28,2010
UDMAT,3268900.0,2010
VIČ,68036304.82,2010
VIŽMARJE,9158376.14,2010
VOLAVLJE,414439.0,2010
VRBLJENE,129600.0,2010
ZADOBROVA,2484971.0,2010
ZELENA JAMA,515880.0,2010
ZGORNJA ŠIŠKA,26130851.0,2010
ČRNUČE,15816411.41,2010
ŠENTPETER,4712000.0,2010
ŠENTVID NAD LJUBLJANO,2453122.0,2010
ŠMARTNO OB SAVI,310760.72,2010
ŠMARTNO POD ŠMARNO GORO,2404523.0,2010
ŠTEPANJA VAS,3804390.26,2010
ŠUJICA,5649633.4,2010
AJDOVŠČINA,6248425.5,2011
BEŽIGRAD,403243731.95,2011
BIZOVIK,16486570.0,2011
BRDO,1188620.0,2011
BRINJE I,8589872.0,2011
BRINJE II,721970.0,2011
DOBROVA,11542862.4,2011
DOBRUNJE,1028520.0,2011
DOLSKO,10500.0,2011
DRAVLJE,19611766.99,2011
GAMELJNE,3884322.0,2011
GLINCE,50127885.0,2011
GOLO BRDO,4250.0,2011
GRADIŠČE I,1548385.08,2011
GRADIŠČE II,10501671.5,2011
GRIČ,634600.0,2011
IŠKA LOKA,20510.0,2011
JAVOR,129417.4,2011
JEŽICA,10972778.0,2011
KARLOVŠKO PREDMESTJE,16302662.08,2011
KAŠELJ,26939422.74,2011
KRAKOVSKO PREDMESTJE,1605000.0,2011
LIPOGLAV,426072.83999999997,2011
LJUBLJANA MESTO,7913088.0,2011
MOSTE,9043958.11,2011
NADGORICA,359662183.16,2011
NOVE JARŠE,2071120.0,2011
PODGORICA,603800.0,2011
PODMOLNIK,291852.0,2011
PODSMREKA,1245633.0,2011
POLJANSKO PREDMESTJE,1778006.0,2011
PRULE,656526.0,2011
RAŠICA,24000.0,2011
RUDNIK,5957866.78,2011
SENOŽETI,17500.0,2011
SLAPE,5638393.64,2011
SOSTRO,2659145.6,2011
SPODNJA ŠIŠKA,2189518931.0,2011
STANEŽIČE,3426056.0,2011
STOŽICE,23423176.2,2011
TABOR,102385273.38,2011
TACEN,14035213.34,2011
TOMIŠELJ,425795.0,2011
TREBELJEVO,423467.54,2011
TRNOVSKO PREDMESTJE,39574073.81,2011
UDMAT,3670746.0,2011
VIČ,52279048.31,2011
VIŽMARJE,274213878.0,2011
VOLAVLJE,2559052.0,2011
ZADOBROVA,3213152.17,2011
ZELENA JAMA,1415670.09,2011
ZGORNJA ŠIŠKA,14475948.35,2011
ČRNUČE,16550288.0,2011
ŠENTPETER,1369320.0,2011
ŠENTVID NAD LJUBLJANO,6915382.74,2011
ŠMARTNO OB SAVI,942960.0,2011
ŠMARTNO POD ŠMARNO GORO,5794860.0,2011
ŠTEPANJA VAS,3117361.2199999997,2011
ŠUJICA,3366770.0,2011
AJDOVŠČINA,8792280.0,2012
BEŽIGRAD,15196193.23,2012
BIZOVIK,7238747.5,2012
BRDO,1703739.5,2012
BRINJE I,3111292.5,2012
BRINJE II,4316707.0,2012
DOBROVA,11761115.41,2012
DOBRUNJE,3904240.0,2012
DRAVLJE,78689120.11,2012
GAMELJNE,3409112.0,2012
GLINCE,13331505.16,2012
GOLO BRDO,32000.0,2012
GOLOVEC,16000.0,2012
GRADIŠČE I,1772700.0,2012
GRADIŠČE II,4942735.0,2012
GRIČ,38400.0,2012
HOTEDRŠICA,107100.0,2012
JAVOR,71800.0,2012
JEŽICA,3227898.4,2012
KARLOVŠKO PREDMESTJE,37087933.97,2012
KAŠELJ,13586108.97,2012
KRAKOVSKO PREDMESTJE,1279100.0,2012
LIPOGLAV,344343.0,2012
LJUBLJANA MESTO,7032011.48,2012
MOSTE,31117064.64,2012
NADGORICA,1647023.0,2012
NOVE JARŠE,1772381.82,2012
PODGORICA,686506.25,2012
PODMOLNIK,173739.0,2012
PODSMREKA,1567876.5,2012
POLJANSKO PREDMESTJE,5544500.0,2012
PRULE,2497640.0,2012
RAČICA,3338.34,2012
RAŠICA,33000.0,2012
RUDNIK,5415975.18,2012
SLAPE,2775579.5,2012
SOSTRO,2376107.0,2012
SPODNJA ŠIŠKA,13384686.0,2012
STANEŽIČE,6548652.83,2012
STOŽICE,8006280.0,2012
TABOR,6257848.4,2012
TACEN,3955706.2,2012
TOMIŠELJ,129516.8,2012
TREBELJEVO,347915.0,2012
TRNOVSKO PREDMESTJE,30138125.24,2012
UDMAT,8759365.2,2012
VIČ,23161865.43,2012
VIŽMARJE,11707638.72,2012
VOLAVLJE,2067566.02,2012
ZADOBROVA,6667092.42,2012
ZELENA JAMA,4151148.2,2012
ZGORNJA ŠIŠKA,11315432.2,2012
ČRNUČE,14490237.15,2012
ŠENTPETER,2854200.0,2012
ŠENTVID NAD LJUBLJANO,5697025.0,2012
ŠMARTNO OB SAVI,739400.0,2012
ŠMARTNO POD ŠMARNO GORO,4856392.0,2012
ŠTEPANJA VAS,2588953.0,2012
ŠUJICA,730321.1799999999,2012
AJDOVŠČINA,14427656.0,2013
BEŽIGRAD,151986972.82,2013
BIZOVIK,5996580.15,2013
BRDO,116732377.39999999,2013
BRINJE I,18463824.23,2013
BRINJE II,2514369.0,2013
DOBROVA,12326139.44,2013
DOBRUNJE,2456413.76,2013
DRAVLJE,50085082.88,2013
GAMELJNE,423885.5,2013
GLINCE,3906903.71,2013
GOLO BRDO,7000.1,2013
GRADIŠČE I,1651500.0,2013
GRADIŠČE II,6784510.0,2013
GRIČ,4447859.2,2013
JAVOR,124792.0,2013
JEŽICA,4473825.6,2013
KARLOVŠKO PREDMESTJE,277484384.97999996,2013
KAŠELJ,56656135.4,2013
KRAKOVSKO PREDMESTJE,1027000.0,2013
LIPOGLAV,90016.0,2013
LJUBLJANA MESTO,2620869.42,2013
MOSTE,111008999.56,2013
NADGORICA,21088796.42,2013
NOVE JARŠE,300796.0,2013
PODGORICA,225480.0,2013
PODMOLNIK,281527.8,2013
PODSMREKA,1706406.55,2013
POLJANSKO PREDMESTJE,2900924.93,2013
PRULE,1004750.21,2013
RADOVLJICA,715052.0,2013
RAŠICA,33000.0,2013
RUDNIK,2598081323.92,2013
SLAPE,3337972.17,2013
SOSTRO,1969360.0,2013
SPODNJA ŠIŠKA,11558953.5,2013
STANEŽIČE,11832729.610000001,2013
STOŽICE,12562946.05,2013
TABOR,23993033.8,2013
TACEN,7629465.0,2013
TOMIŠELJ,337700.0,2013
TREBELJEVO,792780.4,2013
TRNOVSKO PREDMESTJE,17824187.09,2013
UDMAT,3943115.92,2013
VIČ,34007936.08,2013
VIŽMARJE,7567444.44,2013
VOLAVLJE,1523666.0,2013
ZADOBROVA,7380019.68,2013
ZELENA JAMA,1537630.4,2013
ZGORNJA ŠIŠKA,24116967.32,2013
ČRNUČE,231845255.76,2013
ŠENTPETER,2199357.62,2013
ŠENTVID NAD LJUBLJANO,3542529.58,2013
ŠMARTNO OB SAVI,1024769.85,2013
ŠMARTNO POD ŠMARNO GORO,4309890.14,2013
ŠTEPANJA VAS,6562562.24,2013
ŠUJICA,1402000.0,2013
AJDOVŠČINA,59931056.47,2014
BEŽIGRAD,387962595.62,2014
BIZOVIK,10380971.32,2014
BRDO,14769687.9,2014
BREZOVICA,525000.0,2014
BRINJE I,18420262.75,2014
BRINJE II,453207.2,2014
DOBROVA,6547529.3,2014
DOBRUNJE,53231194.0,2014
DRAVLJE,114772732.6,2014
GAMELJNE,26381338.2,2014
GLINCE,9309301.02,2014
GOLO BRDO,16000.0,2014
GOLOVEC,95900.0,2014
GRADIŠČE I,367874.8,2014
GRADIŠČE II,16918937.44,2014
GRIČ,3635650.9499999997,2014
HRAŠE,252000.0,2014
JAVOR,183281.4,2014
JEŽICA,16131611.49,2014
KARLOVŠKO PREDMESTJE,33375960.24,2014
KAŠELJ,57796553.47,2014
KRAKOVSKO PREDMESTJE,24017232.16,2014
LIPOGLAV,326123.0,2014
LJUBLJANA MESTO,10452018.78,2014
MOSTE,537834776.08,2014
NADGORICA,72843490.6,2014
NOVE JARŠE,13581645.46,2014
PEKRE,4478685.88,2014
PIVOLA,15675400.58,2014
PODGORICA,2608068.0,2014
PODMOLNIK,143212.8,2014
PODSMREKA,494500.0,2014
POLJANSKO PREDMESTJE,15718865.94,2014
PRULE,3016541.0,2014
RAŠICA,720000.0,2014
RUDNIK,8125869.8,2014
SLAPE,7016869.24,2014
SOSTRO,874298.47,2014
SPODNJA ŠIŠKA,24822329.19,2014
STANEŽIČE,2253409.14,2014
STOŽICE,45665411.48,2014
TABOR,82399049.92,2014
TACEN,6513499.05,2014
TEZNO,90000.0,2014
TOMIŠELJ,29465.92,2014
TREBELJEVO,215122.0,2014
TRNOVSKO PREDMESTJE,46010161.4,2014
UDMAT,4811226.18,2014
VIČ,52435885.31,2014
VIŽMARJE,13959527.88,2014
VOLAVLJE,583415.9,2014
ZADOBROVA,3977449.32,2014
ZELENA JAMA,171794876.87,2014
ZGORNJA ŠIŠKA,67679992.66,2014
ČRNUČE,8119490.76,2014
ŠENTPETER,5108846.21,2014
ŠENTVID NAD LJUBLJANO,23482028.39,2014
ŠMARTNO OB SAVI,781909.5,2014
ŠMARTNO POD ŠMARNO GORO,999902.4,2014
ŠTEPANJA VAS,5913426.69,2014
ŠUJICA,508750.0,2014
AJDOVŠČINA,73813728.6,2015
BEŽIGRAD,298541662.63,2015
BIZOVIK,21292145.59,2015
BRDO,13014349.5,2015
BREG,99000.0,2015
BRINJE I,41165806.089999996,2015
BRINJE II,123196.0,2015
DOBROVA,2047748.35,2015
DOBRUNJE,2969067.8,2015
DRAVLJE,38233683.01,2015
GAMELJNE,1738079.06,2015
GLINCE,25114056.26,2015
GOLOVEC,1711567.5,2015
GRADIŠČE I,51285.8,2015
GRADIŠČE II,5420544.79,2015
GRIČ,593127.5,2015
HRAŠE,216000.0,2015
IŠKA LOKA,136000.0,2015
JAVOR,1088569.67,2015
JEŽICA,4646257.61,2015
KARLOVŠKO PREDMESTJE,39361637.37,2015
KAŠELJ,7403212.53,2015
KRAKOVSKO PREDMESTJE,451680.0,2015
LAZE,266095.38,2015
LIPOGLAV,706357.04,2015
LJUBLJANA MESTO,764034.15,2015
MOSTE,75633751.45,2015
NADGORICA,36010831.22,2015
NOVE JARŠE,1228668.72,2015
PODBREZJE,4461864.600000001,2015
PODGORICA,861500.0,2015
PODMOLNIK,193888.7,2015
PODSMREKA,1052450.0,2015
POLJANSKO PREDMESTJE,2360796.6,2015
PRULE,46169600.0,2015
RAŠICA,50000.0,2015
RUDNIK,3867164.8,2015
SLAPE,3074558.72,2015
SOSTRO,461224.0,2015
SPODNJA ŠIŠKA,590124975.0,2015
STANEŽIČE,31604186.830000002,2015
STOŽICE,140166662.48,2015
TABOR,7351294.1,2015
TACEN,620456.3300000001,2015
TENETIŠE,153857.40000000002,2015
TOMIŠELJ,55135.0,2015
TREBELJEVO,81207.26,2015
TRNOVSKO PREDMESTJE,27502808.09,2015
UDMAT,59363677.84,2015
VIČ,61473219.62,2015
VIŽMARJE,10118452.1,2015
VOLAVLJE,581109.8,2015
ZADOBROVA,5051638.75,2015
ZELENA JAMA,12581847.0,2015
ZGORNJA ŠIŠKA,19048860.6,2015
ZVIRČE,25642.9,2015
ČRNUČE,420433644.84000003,2015
ŠENTPETER,678292.69,2015
ŠENTVID NAD LJUBLJANO,2493278.0,2015
ŠMARTNO OB SAVI,2665905.5,2015
ŠMARTNO POD ŠMARNO GORO,2869215.0,2015
ŠTEPANJA VAS,3557589.0,2015
ŠUJICA,2205000.0,2015
AJDOVŠČINA,180768207.6,2016
BEŽIGRAD,28620730.080000002,2016
BIZOVIK,9901744.84,2016
BRDO,103469252.05,2016
BREŽICE,3139545.45,2016
BRINJE I,41904551.03,2016
BRINJE II,2435420.0,2016
DOBROVA,11347411.07,2016
DOBRUNJE,213567952.19,2016
DRAGOMELJ,1298.12,2016
DRAVLJE,73449117.35000001,2016
GAMELJNE,14893362.63,2016
GLINCE,6675725.2,2016
GOLOVEC,840700.0,2016
GOTOVLJE,1046515.15,2016
GRADIŠČE I,3983882.2,2016
GRADIŠČE II,13036644.56,2016
GRIČ,257125.8,2016
JAVOR,252225.5,2016
JEŽICA,3029660.0,2016
KARLOVŠKO PREDMESTJE,18722881.98,2016
KAŠELJ,17901101.15,2016
KRAKOVSKO PREDMESTJE,3997771.08,2016
LIPOGLAV,577168.33,2016
LJUBLJANA MESTO,3655500.0,2016
MEDLOG,1046515.15,2016
MOSTE,680751116.02,2016
NADGORICA,32850475.48,2016
NOVE JARŠE,347368.0,2016
PODGORICA,302104.36,2016
PODMOLNIK,95564.22,2016
PODSMREKA,2023864.38,2016
